;index;conta_bancaria;descricao;valor;conta_debito;conta_credito
114;724;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19468;49,46;;
115;725;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19469;34,62;;
116;726;004905;RECEBIMENTOS DIVERSOS - ACRESC. CIELO 18636;1,02;;
117;727;004905;CREDITO CONVENIO A IDENTIFICAR - BRADESC SAU 19458;3097,45;;
118;728;004905;PAGTO DEBITO EM C/C - CHAFIC MENDONCA ABDEL MELEK  - DEB C/C- 150214-4;589,95;;
119;729;004905;PAGTO DEBITO EM C/C - CHAFIC MENDONCA ABDEL MELEK  - DEB C/C- 150912-3;600,00;;
120;730;004905;PAGTO DEBITO EM C/C - SERVICO AUTONOMO DE AGUA E E - DEB C/C- 152941-1;127,04;;
121;731;004905;PAGTO DEBITO EM C/C - CHAFIC MENDONCA ABDEL MELEK  - DEB C/C- 153053-1;567,00;;
122;732;004905;PAGTO DEBITO EM C/C - FGTS- MARCELLE MODESTO DE SO - DEB C/C- 154753-1;666,80;;
123;733;004905;PAGTO DEBITO EM C/C - TELEFONICA BRASIL S.A. 20294 - DEB C/C- 154788-1;1190,30;;
124;734;004905;CREDITO CONVENIO A IDENTIFICAR - MEDISERVICE 19457;27829,40;;
125;721;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19465;197,84;;
126;767;004905;TRANSF. C/C 004905 PARA 3040 BORD. 4059 - T-218125;200000,00;;
127;641;004905;PAGTO DEBITO EM C/C - CAMARGO DE JESUS SERVICOS ME - DEB C/C- 154362-1;1400,00;;
128;639;004905;PAGTO DEBITO EM C/C - COIMBRA FERREIRA MEDICOS ASS - DEB C/C- 154348-1;6720,00;;
129;547;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19123;738,57;;
130;548;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19142;68,42;;
131;549;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19146;110,49;;
132;550;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19389;34,62;;
133;551;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19390;197,84;;
134;552;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19391;34,62;;
135;553;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19392;34,62;;
136;554;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19393;34,62;;
137;555;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19394;54,75;;
138;556;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19396;11,87;;
139;557;004905;CREDITO CONVENIO A IDENTIFICAR - AMIL 19352;494909,87;;
140;558;004905;CREDITO CONVENIO A IDENTIFICAR - BRADESC SAU 19402;352630,83;;
141;559;004905;PAGTO DEBITO EM C/C - CORPO DE BOMBEIROS MILITAR D - DEB C/C- 149976-3;535,75;;
142;546;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19112;835,75;;
143;560;004905;PAGTO DEBITO EM C/C - CORPO DE BOMBEIROS MILITAR D - DEB C/C- 149991-3;150,01;;
144;562;004905;PAGTO DEBITO EM C/C - CHAFIC MENDONCA ABDEL MELEK  - DEB C/C- 150527-3;495,25;;
